Event Name,Dorm,Group,Event Location,Start Date and Time,End Date and Time,Short Description,Event Tags
Baker Rooftop Brunch!!,Baker House,,Baker House Rooftop,8/27/2023 9:30:00,8/28/2023 11:00:00,What better way to start your day than with a hearty breakfast? A hearty breakfast AND beautiful views AND good vibes -- come to the rooftop of Baker House @ 9:30-11am!! Join us to hang out and meet the Baker House / Baker Home family <3,"Food, Social"
Baker House,Baker House,,Baker Dining,8/29/2023 21:30:00,8/29/2023 23:30:00,"Pizza! Refreshments! Pumping music! And everyone's fav…vintage Baker merch! Dance the night away at Baker Skyline, Baker's event of the year. You don't wanna miss it :) we’ll see you 9:30-11:30pm!","Signature, Food, Party, Social"
BC Dorm Tours,Burton Conner,,BC Lobby,8/26/2023 20:00:00,8/26/2023 21:00:00,"Some of our rooms have beds. Some have mice. Find out which are which. Tours starting at 8pm and 8:30pm, meet in BC lobby!",Tour
Awakenings and Bakenings,Burton Conner,Burton Third,Burton Conner 341 Suite,8/27/2023 10:03:00,8/27/2023 12:03:00,come enjoy brunch & baked goods with burton third!,Food
Mystery Box,Burton Conner,Burton 4,Burton Conner Entrance (Amherst Alley),8/27/2023 12:00:00,8/27/2023 15:00:00,We have a box. You put your hand it in. You touch a thing. We laugh. You laugh? If you guess object. Win. ,"Social, Games"
b2's 24hr lemonade stand,Burton Conner,B2,In front of BC,8/27/2023 12:00:00,8/28/2023 12:00:00,"Lemonade, it's what plants crave",Food
B5ba in B5,Burton Conner,Burton 5,Burton Conner 541 (Center Suite),8/27/2023 14:00:00,8/27/2023 15:00:00,A safe zone to talk about how much you love boba while enjoying it!,"Food, Social"
sports ball,Burton Conner,Burton Third,Briggs Field,8/27/2023 14:03:00,8/27/2023 3:03:00,Don't know how to play? Neither do we! Come along for the ride.,Games
C3 Fruit-a-palooza,Burton Conner,Conner 3 ,Sidewalk outside Burton Conner,8/27/2023 15:00:00,8/27/2023 16:00:00,Are you ever overcome by the spontaneous urge to smash fruit? Eat fruit? Smash fruit and eat it? Eat fruit and smash it? Come satisfy these desires with Conner 3! ,Food
"rock, paper, scissors, (and) shoot - C5",Burton Conner,Conner 5,C5 Flounge,8/27/2023 15:00:00,8/27/2023 16:00:00,"Double Elimination and best of 7 rps tournament. Top 3 will get a dull rock, a full ream of paper, or shiny new scissors.",Games
