ID,Event Name,Dorm,Group,Event Location,Start Date and Time,End Date and Time,Event Description,Tags,Published
BK01,Baker Bricks,Baker House,,Baker Upper Lobby,2026-09-01 19:00,2026-09-01 20:30,"Come decorate your very OWN Baker Brick! Transform plain bricks into colorful masterpiece creations while munching on delicious, homemade Lucky Charms Rice Krispies treats!","Art, Snacks, Social",TRUE
BK02,Baker Carnival,Baker House,,Baker Lawn,2026-08-30 13:00,2026-08-30 15:00,"Come one, come all, to the most anticipated Baker event: BAKER CARNIVAL! There will be games! There will be waffles! There will be baby animals!!!!","Signature, Snacks, Social, Games",TRUE
BK03,Baker Charms,Baker House,,Baker Upper Lobby,2026-08-31 10:00,2026-08-31 11:30,"Unleash your creativity at our Lucky Charm Bracelet Bash! Craft your own stunning custom charm bracelet while crunching on sweet, nostalgic Lucky Charms cereal. Tasty snacks, and great vibes!","Art, Snacks, Social",TRUE
BK04,Baker Rooftop Sunset,Baker House,,Baker Rooftop,2026-08-31 19:00,2026-08-31 20:30,"Catch sunset views, snap stunning photos, and hang with friends on the rooftop! Enjoy Raising Cane’s and drinks while soaking in the best sights on campus. See you there!","Social, Meal",TRUE
BK05,Baker Dorm Tour,Baker House,,Baker Upper Lobby,2026-08-31 11:00,2026-08-31 11:30,"Join us for a 30min tour of Baker for a chance to explore the rooms, floors, and faciliaties while learning about our culture! Baker House, Baker Home!",Dorm Tour,TRUE
BK06,Baker Dorm Tour,Baker House,,Baker Upper Lobby,2026-09-01 20:00,2026-09-01 20:30,"Join us for a 30min tour of Baker for a chance to explore the rooms, floors, and faciliaties while learning about our culture! Baker House, Baker Home!",Dorm Tour,TRUE
BK07,Baker Dorm Tour,Baker House,,Baker Upper Lobby,2026-08-30 17:30,2026-08-30 18:00,"Join us for a 30min tour of Baker for a chance to explore the rooms, floors, and faciliaties while learning about our culture! Baker House, Baker Home!",Dorm Tour,TRUE
BC01,ERECT a wa11,Burton-Conner House,B1,BC Main Entrance,2026-08-30 17:01,2026-08-30 18:31,is it a bird? is it a plane? omg its some hardwood under the sheets of drywall!!1! help us finish by painting our wall b1ue.,"Social, Art",TRUE
BC02,BREAK the wa11,Burton-Conner House,B1,BC Main Entrance,2026-08-30 18:51,2026-08-30 20:01,Do it. You won’t.,"Social, Games",TRUE
BC03,B1EA MARKET,Burton-Conner House,B1,B1: 133 Suite,2026-09-01 19:51,2026-09-01 21:31,"a b1zarre bazaar featuring secondhand clothing b1ns, caricature drawings, tarot readings, and DJ-ing! all for the low low price of free- well, sort of…","Snacks, Social, Games",TRUE
BC04,M1CHELBANGELO,Burton-Conner House,B1,B1: 133 Suite,2026-08-30 09:21,2026-08-30 10:31,crazy? i was crazy once. they locked me in a room. a rubber room. a rubber room with michelangelo. some say michelangelo’s from b1. we say he stole everything from us. come prepared with your best pancake art and show them who’s really crazy. crazy? i was crazy once,"Meal, Social",TRUE
BC05,WELCOME TO THE B1NERVERSE,Burton-Conner House,B1,B1: 141 Suite,2026-08-31 22:01,2026-09-01 01:00,(it’s a party),"Party, Social",TRUE
BC06,Burton 2: 24-Hour Lemonade Stand,Burton-Conner House,B2,BC Main Entrance,2026-08-29 12:00,2026-08-30 01:00,"Lemonade, it's what plants crave.","Snacks, Social",TRUE
BC43,Burton 2: 24-Hour Lemonade Stand,Burton-Conner House,B2,BC Main Entrance,2026-08-30 06:00,2026-08-30 12:00,Lemonade: plants still cravin',"Snacks, Social",TRUE
BC07,Apples to Apples with Apples and Honey (and Other Sweet Treats!),Burton-Conner House,B2,B2: Suite 254,2026-09-02 15:00,2026-09-02 17:00,"Welcome the New Year with the Kosher Suites, MIT's observant Jewish living community! Come enjoy apples and honey, fresh-baked round challah, ice cream, warm apple pie, and other sweet treats. Play Apples to Apples with community members and start the year off on a sweet note!","Snacks, Social, Games",TRUE
