Event Name,Dorm,Event Location ,Start Date and Time,End Date and Time,Event Description ,Tags,Published 
MacG Entry Panel Event,MacGregor,MacGregor A Entry Lounge,8/28/2021 11:00,8/28/2021 13:00,"Plants, Boba, and a Look Into MacG's Entry System","food, info, boba, plant, Q&A",TRUE
Velociraptor Pool Party,MacGregor,MacGregor Courtyard,8/28/2021 20:00,8/28/2021 23:00,"A Showing of The VelociPastor, Pool Volleyball, and Dinosaur Chicken Nuggets","food, movie, water, games, show",TRUE
MacGregor Could Use A Little Color,MacGregor,MacGregor Courtyard,8/30/2021 19:00,8/30/2021 21:30,"Color the bricks of MacG with paint balloons, then stick around for trivia and karaoke!","art, games, karaoke, trivia",TRUE
Brick on Wheels,MacGregor,TBD,8/29/2021 14:00,8/29/2021 17:30,Homemade Go Kart Racing,"build, race, ",TRUE
PowerPoint Karaoke and Kookies,MacGregor,F Entry Lounge (Up the stone staircase in the courtyard),8/30/2021 20:00,8/30/2021 22:00,"Come compete in our festival of improv goodness, or come simply to enjoy the spectacle of your friends presenting nonsensical powepoints prepared by Fentry. No previous experience needed, showing up for food and entertainment also encouraged.","party, food, games, improv",TRUE
Fentry Feast,MacGregor,F Entry Lounge (Up the stone staircase in the courtyard),8/28/2021 16:00,8/30/2021 18:00,A variety of homecooked food made by the residents of F Entry.,"food, cooking",TRUE
Bentry Beach Bash,MacGregor,B Entry Lounge,8/28/2022 15:00,8/28/2022 17:00,Escape the heat and cool off with ice pops and mocktails while enjoying the B entry view,"food, chill",TRUE
Breakfast with Bentry,MacGregor,B Entry Lounge,8/29/2022 9:00,8/29/2022 11:00,"Get ready for the day with a pancake and waffle bar, including bacon and OJ","food, breakfast, ",TRUE
Board Games with Bentry,MacGregor,B Entry Lounge,8/30/2022 21:00,8/30/2022 23:00,Enjoy snacks while playing board games and meeting some B entry residents,"food, games",TRUE
Murder Mystery Dinner,MacGregor,MacGregor Dining Room,8/29/2022 20:00,8/29/2022 23:00,Enjoy dinner and a show with J entry as you work together to solve a murder mystery,"food, puzzle, improv, show",TRUE
Memes and Cereal,MacGregor,J Entry Lounge,8/28/2022 13:00,8/28/2022 15:00,"Watch memes, eat cereal, and hang out with the residents of J entry","food, memes, chill",TRUE
Penthouse Party,McCormick,East Penthouse,8/30/2022 20:00,8/30/2022 23:59,"Come enjoy our party on McCormick's East Penthouse ! Bring a date! or 2, or 3! (no but like please come, we've spent insane amounts of money on this )","party, food, fun",TRUE
Casino Night,McCormick,Brown Living Room,9/2/2022 20:00,9/2/2022 23:00,"Channel your inner POKER savant and join McCormick for a night filled with gambling and mocktails (we only gamble with Lady Luck here, no money)!!! Bring your friends and dominate them in blackjack, mahjong, and MOREEE","food, fun, games",TRUE
Night Carnival,McCormick,Front Lawn,8/31/2022 20:00,8/31/2022 23:59,"Bounce house obstacle course! Cotton candy, popcorn, sno cones!  Games and PRIZES GALORE! We're having a giant carnival bash, and we're giving away SO MUCH FOOD AND PRIZES! All genders invited, and bring your friends!","food, fun, games",TRUE
Taste of Cambridge,McCormick,Front Lawn,9/1/2022 12:30,9/1/2022 14:30,"FOOD!FREE FOOD! All hungry pre-frosh welcome, first come first serve!",food,TRUE
Tosci's and Tea,McCormick,Front Lawn,8/31/2022 16:30,8/31/2022 18:00,"Have THE ICONIC TOSCANINI's ICE CREAM on McCormick's front lawn! Why settle for regular ice cream when you can have BOSTON'S BEST? For multiple years, Tosci's has been voted by Bostonians to be the BEST and come see why! Also just chill and spill tea with us;)",food,TRUE
McCormick Breakfast House,McCormick,Green Living Room,8/30/2022 8:00,8/30/2022 10:00,Have a chill breakfast before rushing off to REX events!,food,TRUE
Paint the Skyline,McCormick,East Penthouse,8/29/2022 9:00,8/30/2022 11:00,"What's better than free art supplies? Painting the best view in MIT with those supplies, of course! Paint the Boston skyline from the penthouse, and make a personalized door sign as a bonus! Art supplies and snacks provided :)","food, crafts ",TRUE
Who's smarter than an MIT professor?,McCormick,Front Lawn,9/1/2022 16:00,9/1/2022 18:00,"Y'all got into MIT, so clearly there's something going on in your brains. But are you smarter than the folks who ADMITTED YOU?  Or feeling super gutsy? Step into the ring with a professor!","food, games",TRUE
